Course ID,Required Course
ARTM 2105,ARTB 1206
ARTM 2105,ARTG 2180
ARTM 3005,ARTA 3201
ARTM 3101,ARTM 2105
ARTM 3103,ARTA 3201
ARTM 3103,ARTM 2105
ARTM 3105,ARTM 2105
ARTM 3205,ARTA 3201
ARTM 3205,ARTM 2105
ARTM 3390,ARTB 1204
ARTM 3405,ARTM 3103
ARTM 3405,ARTM 3105
ARTM 3405,ARTM 3205
ARTP 2131,ARTB 1201
ARTP 2131,ARTB 1202
ARTP 2131,ARTB 1203
ARTP 2131,ARTB 1204
ARTP 2131,ARTB 1206
ARTP 2131,ARTG 2180
ARTP 3131,ARTP 2131
ARTP 3132,ARTD 2134
ARTP 3132,ARTP 2131
ARTP 3161,ARTP 2131
ARTR 2161,ARTB 1201
ARTR 2161,ARTB 1202
ARTR 2161,ARTB 1203
ARTR 2161,ARTB 1204
ARTR 2161,ARTB 1206
ARTR 2161,ARTG 2180
ARTR 2162,ARTB 1201
ARTR 2162,ARTB 1202
ARTR 2162,ARTB 1203
ARTR 2162,ARTB 1204
ARTR 2162,ARTB 1206
ARTR 2162,ARTG 2180
ARTR 3162,ARTR 2161
ARTR 3162,ARTR 2162
ARTR 3263,ARTR 2161
ARTR 3263,ARTR 2162
ARTT 3190,ARTT 2191
ARTT 3190,ARTG 3183
ARTT 3191,ARTT 2191
ARTT 3193,ARTT 2191
ARTT 3193,ARTT 3190
ARTT 3193,ARTT 3390
ARTT 3195,ARTT 2191
ARTT 3390,ARTT 2191
ARTT 3390,ARTM 2105
ARTT 3391,ARTT 2191
ARTT 3391,ARTT 3190
ARTT 3391,ARTT 3390
ARTT 3391,ARTA 3201
ARTT 4291,ARTA 3201
ARTT 4291,ARTT 3191
ARTT 4409,ARTT 3190
ARTZ 2104,ARTB 1201
ARTZ 2104,ARTB 1202
ARTZ 2104,ARTB 1203
ARTZ 2104,ARTB 1204
ARTZ 2104,ARTB 1206
ARTZ 2104,ARTG 2180
ARTZ 3142,ARTC 2171
ARTZ 3142,ARTC 2172
ARTZ 3142,ARTF 2151
ARTZ 3142,ARTZ 2141
ARTZ 3142,ARTZ 2306
ARTZ 3243,ARTC 2171
ARTZ 3243,ARTC 2172
ARTZ 3243,ARTF 2151
ARTZ 3243,ARTZ 2141
ARTZ 3243,ARTZ 2306
ARTZ 3306,ARTA 3201
ARTZ 3306,ARTZ 2306
ARTZ 3306,ARTC 2171
ARTZ 3306,ARTC 2172
ARTZ 3306,ARTF 2151
ARTZ 3306,ARTZ 2141
ARTZ 3344,ARTC 2171
ARTZ 3344,ARTC 2172
ARTZ 3344,ARTF 2151
ARTZ 3344,ARTZ 2141
ARTZ 3344,ARTZ 2306
BINF 3121,BINF 2111
BINF 3121,MATH 1103
BINF 3121,MATH 1120
BINF 3121,MATH 1121
BINF 3121,MATH 1241
BINF 3121,STAT 1220
BINF 3121,STAT 1221
BINF 3121,STAT 2122
BINF 3201,BIOL 1110
BINF 3201,BIOL 1110L
BINF 3201,BIOL 2120
BINF 3900,BINF 1101
BINF 4600,BINF 3101
BIOL 1115,BIOL 1110
BIOL 2120,BIOL 1110
BIOL 2130,BIOL 2120
BIOL 2130,BIOL 2120L
BIOL 2130L,BIOL 2120
BIOL 2130L,BIOL 2120L
BIOL 2140L,BIOL 2120
