Course ID,Required Course
PHYS 1101,MATH 1120
PHYS 1101,MATH 1121
PHYS 1101,MATH 1241
PHYS 1101L,PHYS 1101
PHYS 1102L,PHYS 1102
PHYS 1130L,PHYS 1130
PHYS 2101L,PHYS 2101
PHYS 2102L,PHYS 2102
PHYS 3102,MATH 2171
PHYS 3102,MATH 2241
PHYS 3102,PHYS 3101
PHYS 3121,MATH 2241
PHYS 3141,MATH 1242
PHYS 3220,MEGR 3121
PHYS 3282,PHYS 3141
PHYS 4110,PHYS 3121
PHYS 4110,MEGR 2144
PHYS 4271,PHYS 3121
PHYS 4271,MEGR 2144
PROS 3203,PROS 3201
PSYC 1101L,PSYC 1101
RESP 4910,RESP 3101
RESP 4910,RESP 4101
RESP 4910,RESP 4102
RESP 4910,RESP 4103
RESP 4910,RESP 4107
ITIS 4310,ITCS 3160
SPAN 3208,SPAN 3201
SPAN 3208,SPAN 3202
SPAN 3208,SPAN 3203
SPAN 3209,SPAN 3201
SPAN 3209,SPAN 3202
SPAN 3209,SPAN 3203
SPAN 3210,SPAN 3201
SPAN 3210,SPAN 3202
SPAN 3210,SPAN 3203
SPAN 4202,SPAN 4208
SPAN 4202,SPAN 4209
SPAN 4208,SPAN 3208
SPED 4400,SPED 4277
SPOA 2120,SPOA 1120
SEGR 4114,SEGR 3202
THEA 2311,THEA 1300
TRAN 4402,TRAN 3601
TRAN 4402,FREN 3000
TRAN 4404,TRAN 4403
TRAN 4412,GERM 2201
TRAN 4412,GERM 2202
TRAN 4412,GERM 3201
TRAN 4412,GERM 3202
TRAN 4432,TRAN 3601
TRAN 4432,RUSS 3000
TRAN 4442,TRAN 3601
TRAN 4442,SPAN 3000
UCOL 3450,UCOL 3400
WGST 3220,WGST 1502
WGST 3220,WGST 1512
WRDS 4400,WRDS 4225
WRDS 4900,WRDS 4225
